key,value,points,polygons,multipolygons,lines,multilines,Landscape,buffer_m
natural,water,FALSE,TRUE,TRUE,TRUE,TRUE,water,2
waterway,NA,FALSE,TRUE,TRUE,TRUE,TRUE,water,2
highway,motorway,FALSE,TRUE,TRUE,TRUE,TRUE,infra,10
highway,trunk,FALSE,TRUE,TRUE,TRUE,TRUE,infra,8
highway,primary,FALSE,TRUE,TRUE,TRUE,TRUE,infra,5
highway,secondary,FALSE,TRUE,TRUE,TRUE,TRUE,infra,5
highway,tertiary,FALSE,TRUE,TRUE,TRUE,TRUE,infra,4
highway,residential,FALSE,TRUE,TRUE,TRUE,TRUE,infra,4
highway,motorway_link,FALSE,TRUE,TRUE,TRUE,TRUE,infra,4
highway,trunk_link,FALSE,TRUE,TRUE,TRUE,TRUE,infra,4
highway,road,FALSE,TRUE,TRUE,TRUE,TRUE,infra,4
highway,unclassified,FALSE,TRUE,TRUE,TRUE,TRUE,infra,3
highway,primary_link,FALSE,TRUE,TRUE,TRUE,TRUE,infra,4
highway,secondary_link,FALSE,TRUE,TRUE,TRUE,TRUE,infra,4
highway,tertiary_link,FALSE,TRUE,TRUE,TRUE,TRUE,infra,4
highway,track,FALSE,TRUE,TRUE,TRUE,TRUE,infra,2
natural,scrub,FALSE,TRUE,TRUE,TRUE,TRUE,shrub,1
natural,shrubbery,FALSE,TRUE,TRUE,TRUE,TRUE,shrub,2
natural,tree,TRUE,TRUE,TRUE,TRUE,TRUE,shrub,4
natural,tree_row,TRUE,TRUE,TRUE,TRUE,TRUE,shrub,4
natural,wood,FALSE,TRUE,TRUE,TRUE,TRUE,forest,4
natural,heath,FALSE,TRUE,TRUE,TRUE,TRUE,shrub,2
natural,grassland,FALSE,TRUE,TRUE,TRUE,TRUE,grassland,2
landuse,forest,FALSE,TRUE,TRUE,TRUE,TRUE,forest,4
landuse,orchard,FALSE,TRUE,TRUE,TRUE,TRUE,shrub,4
landuse,meadow,FALSE,TRUE,TRUE,TRUE,TRUE,grassland,2
landuse,commercial,FALSE,TRUE,TRUE,FALSE,FALSE,settlement,0
landuse,construction,FALSE,TRUE,TRUE,FALSE,FALSE,settlement,0
landuse,education,FALSE,TRUE,TRUE,FALSE,FALSE,settlement,0
landuse,fairground,FALSE,TRUE,TRUE,FALSE,FALSE,settlement,0
landuse,industrial,FALSE,TRUE,TRUE,FALSE,FALSE,settlement,0
landuse,residential,FALSE,TRUE,TRUE,FALSE,FALSE,settlement,0
landuse,retail,FALSE,TRUE,TRUE,FALSE,FALSE,settlement,0
landuse,institutional,FALSE,TRUE,TRUE,FALSE,FALSE,settlement,0
landuse,farmyard,FALSE,TRUE,TRUE,FALSE,FALSE,settlement,0
landuse,cemetery,FALSE,TRUE,TRUE,FALSE,FALSE,shrub,0
landuse,greenfield,FALSE,TRUE,TRUE,FALSE,FALSE,grassland,0
landuse,vineyard,FALSE,TRUE,TRUE,FALSE,FALSE,wine,0
